ip,first_seen,last_seen,categories,events,signals
31.28.253.144,2026-08-31T10:00:00Z,2026-08-31T10:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
31.56.186.216,2026-09-02T13:00:00Z,2026-09-02T13:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
31.59.89.50,2026-08-31T20:00:00Z,2026-08-31T20:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
31.134.83.14,2026-09-01T12:00:00Z,2026-09-01T12:00:00Z,1,34,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
31.173.0.26,2026-08-25T22:00:00Z,2026-08-31T21:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
31.220.94.54,2026-08-29T12:00:00Z,2026-08-29T12:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
34.14.61.168,2026-09-02T06:00:00Z,2026-09-02T06:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
34.14.74.140,2026-09-02T03:00:00Z,2026-09-02T03:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
34.16.196.29,2026-09-01T03:00:00Z,2026-09-01T03:00:00Z,1,1239,honeypot_command_exec;honeypot_connection
34.41.211.48,2026-08-31T12:00:00Z,2026-08-31T12:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
34.52.139.66,2026-08-30T07:00:00Z,2026-08-30T07:00:00Z,1,3,honeypot_connection;honeypot_login_attempt
34.53.148.255,2026-08-31T18:00:00Z,2026-08-31T18:00:00Z,1,7,honeypot_connection;honeypot_login_attempt
34.77.164.25,2026-08-31T06:00:00Z,2026-08-31T06:00:00Z,1,3,honeypot_connection;honeypot_login_attempt
34.77.166.77,2026-08-31T12:00:00Z,2026-08-31T12:00:00Z,1,3,honeypot_connection;honeypot_login_attempt
34.77.182.141,2026-08-31T15:00:00Z,2026-08-31T18:00:00Z,1,5,honeypot_connection;honeypot_login_attempt
34.79.39.30,2026-08-29T03:00:00Z,2026-08-29T03:00:00Z,1,1240,honeypot_command_exec;honeypot_connection
34.80.0.162,2026-08-29T11:00:00Z,2026-08-29T11:00:00Z,1,1309,honeypot_command_exec;honeypot_connection
34.96.60.218,2026-09-03T00:00:00Z,2026-09-03T00:00:00Z,1,1286,honeypot_command_exec;honeypot_connection
34.140.86.76,2026-08-30T06:00:00Z,2026-08-30T06:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
34.146.217.105,2026-09-01T16:00:00Z,2026-09-01T16:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
34.146.248.7,2026-08-26T09:00:00Z,2026-09-02T00:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
34.156.110.119,2026-08-31T15:00:00Z,2026-08-31T15:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
34.156.249.126,2026-08-30T06:00:00Z,2026-08-30T06:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
35.187.95.46,2026-08-28T01:00:00Z,2026-08-28T01:00:00Z,1,3,honeypot_connection;honeypot_login_attempt
