ip,first_seen,last_seen,categories,events,signals
46.77.69.201,2026-09-03T12:00:00Z,2026-09-03T12:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
46.233.25.251,2026-09-03T09:00:00Z,2026-09-03T09:00:00Z,1,9,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
47.187.163.33,2026-09-04T00:00:00Z,2026-09-04T00:00:00Z,1,3,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
47.247.73.99,2026-08-31T16:00:00Z,2026-09-03T08:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
49.124.152.227,2026-09-04T02:00:00Z,2026-09-04T02:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
49.124.153.44,2026-09-03T22:00:00Z,2026-09-03T22:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
49.205.214.47,2026-09-04T02:00:00Z,2026-09-04T02:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
49.206.194.29,2026-09-02T09:00:00Z,2026-09-03T17:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
49.207.186.21,2026-09-04T00:00:00Z,2026-09-04T00:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
50.2.184.242,2026-08-31T16:00:00Z,2026-09-03T23:00:00Z,1,797,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
50.217.40.11,2026-09-03T09:00:00Z,2026-09-03T09:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
58.17.148.69,2026-09-03T09:00:00Z,2026-09-03T09:00:00Z,1,4171,honeypot_connection
59.22.68.213,2026-09-03T06:00:00Z,2026-09-03T18:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
59.23.76.73,2026-09-03T11:00:00Z,2026-09-03T11:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
59.92.233.67,2026-09-02T01:00:00Z,2026-09-04T00:00:00Z,1,5,honeypot_connection;honeypot_login_attempt
59.93.36.136,2026-09-01T06:00:00Z,2026-09-03T19:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
59.188.204.197,2026-09-03T09:00:00Z,2026-09-03T09:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
60.18.123.60,2026-09-03T18:00:00Z,2026-09-03T18:00:00Z,1,825,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
60.172.1.210,2026-09-02T20:00:00Z,2026-09-03T08:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
60.172.41.103,2026-09-04T00:00:00Z,2026-09-04T00:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
60.220.241.50,2026-09-02T12:00:00Z,2026-09-03T07:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
60.249.251.88,2026-08-25T17:00:00Z,2026-09-03T20:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
61.134.171.142,2026-09-03T05:00:00Z,2026-09-03T05:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
61.143.227.17,2026-09-03T15:00:00Z,2026-09-03T15:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
61.184.128.210,2026-08-31T23:00:00Z,2026-09-04T03:00:00Z,1,8,honeypot_connection;honeypot_login_attempt
62.122.195.14,2026-09-01T03:00:00Z,2026-09-03T13:00:00Z,1,8,honeypot_connection;honeypot_login_attempt
62.183.82.70,2026-08-31T13:00:00Z,2026-09-03T09:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
64.62.156.152,2026-08-21T15:00:00Z,2026-09-03T09:00:00Z,1,10,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
65.20.131.212,2026-09-01T14:00:00Z,2026-09-03T21:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
65.20.141.202,2026-09-03T14:00:00Z,2026-09-03T14:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
65.20.187.47,2026-08-31T14:00:00Z,2026-09-03T08:00:00Z,1,8,honeypot_connection;honeypot_login_attempt
65.20.191.231,2026-09-03T21:00:00Z,2026-09-03T21:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
65.20.204.88,2026-09-03T22:00:00Z,2026-09-03T22:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
65.20.251.41,2026-08-31T23:00:00Z,2026-09-04T01:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
66.45.144.201,2026-09-03T19:00:00Z,2026-09-03T19:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
68.199.252.179,2026-09-02T01:00:00Z,2026-09-03T20:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
69.124.251.147,2026-09-03T08:00:00Z,2026-09-03T08:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
71.229.1.186,2026-09-03T11:00:00Z,2026-09-03T11:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
72.215.33.71,2026-09-04T01:00:00Z,2026-09-04T01:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
72.255.15.228,2026-09-03T23:00:00Z,2026-09-03T23:00:00Z,1,275,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
